169.233.223.112, 2016-10-28 20:06:31, GET, /, HTTP/1.1, 303, 0.001185
169.233.223.112, 2016-10-28 21:10:41, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000461
169.233.223.112, 2016-10-28 21:10:41, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000355
169.233.223.112, 2016-10-28 21:10:41, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000342
169.233.223.112, 2016-10-28 21:10:41, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000374
169.233.223.112, 2016-10-28 21:10:41, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000469
169.233.223.112, 2016-10-28 21:10:41, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000313
169.233.223.112, 2016-10-28 21:10:41, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000285
169.233.223.112, 2016-10-28 21:10:41, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000305
169.233.223.112, 2016-10-28 21:10:41, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000480
169.233.223.112, 2016-10-28 21:10:41, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000797
169.233.223.112, 2016-10-28 21:10:41, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000473
169.233.223.112, 2016-10-28 21:10:41, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000365
159.203.233.58, 2016-10-28 21:19:13, POST, /welcome/default/api/acc.json, HTTP/1.1, 500, 0.140503
159.203.233.58, 2016-10-28 21:26:06, POST, /welcome/default/api/acc.json, HTTP/1.1, 500, 0.044065
159.203.233.58, 2016-10-28 21:30:20, POST, /welcome/default/api/acc.json, HTTP/1.1, 500, 5.082880
159.203.233.58, 2016-10-28 21:31:07, POST, /welcome/default/api/acc.json, HTTP/1.1, 500, 5.071767
159.203.233.58, 2016-10-28 21:32:32, POST, /welcome/default/api/acc.json, HTTP/1.1, 500, 5.082104
159.203.233.58, 2016-10-28 21:33:03, POST, /welcome/default/api/acc.json, HTTP/1.1, 500, 5.094140
159.203.233.58, 2016-10-28 21:43:18, POST, /welcome/default/api/acc.json, HTTP/1.1, 500, 5.063518
159.203.233.58, 2016-10-28 21:43:55, POST, /welcome/default/api/acc.json, HTTP/1.1, 200, 0.127191
169.233.223.112, 2016-10-28 21:44:32, GET, /hello/default/api/person/1.json, HTTP/1.1, 404, 0.000812
169.233.223.112, 2016-10-28 21:44:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000668
169.233.223.112, 2016-10-28 21:44:36, GET, /welcome/default/api/person/1.json, HTTP/1.1, 400, 0.083617
169.233.223.112, 2016-10-28 21:44:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000326
169.233.223.112, 2016-10-28 21:44:41, GET, /welcome/default/api/acc/1.json, HTTP/1.1, 200, 0.022307
169.233.223.112, 2016-10-28 21:44:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000330
